,t_manu,p_year,case_id
0,AAER,2009.0,2
1,AAER,2010.0,3
2,AOC,1997.0,4
3,AOC,1999.0,9
4,AOC,2000.0,11
5,AOC,2004.0,15
6,AWE,2008.0,17
7,Acciona,2008.0,290
8,Acciona,2009.0,426
9,Acciona,2010.0,492
10,Acciona,2012.0,620
11,Acciona,2015.0,775
12,Aeronautica,2011.0,776
13,Aeronautica,2012.0,779
14,Aeronautica,2017.0,780
15,Alstom,2011.0,804
16,Bergey Energy,2005.0,805
17,Bonus,1984.0,825
18,Bonus,1985.0,957
19,Bonus,1986.0,1012
20,Bonus,2001.0,1060
21,Bonus,2002.0,1097
22,Bonus,2003.0,1109
23,Bonus,2006.0,1110
24,Bora,2012.0,1112
25,Changzhou Railcar Propulsion Engineering Research and Development Center,2009.0,1113
26,China Creative Wind Energy,2012.0,1130
27,Clipper,2007.0,1149
28,Clipper,2008.0,1338
29,Clipper,2009.0,1584
30,Clipper,2010.0,1612
31,Clipper,2011.0,1711
32,Clipper,2012.0,1811
33,DWT,1990.0,1812
34,Danwin,1988.0,1927
35,DeWind,2008.0,1928
36,DeWind,2009.0,1931
37,DeWind,2010.0,1941
38,DeWind,2012.0,2011
39,EWT,2009.0,2014
40,EWT,2010.0,2016
41,EWT,2012.0,2019
42,EWT,2013.0,2022
43,EWT,2018.0,2023
44,EWT,2019.0,2024
45,Elecon,2009.0,2025
46,Elecon,2011.0,2026
47,Endurance,2010.0,2030
48,Enron,1998.0,2169
49,Enron,1999.0,2425
50,Enron,2001.0,2426
51,Entegrity,2008.0,2442
52,Entegrity,2010.0,2443
53,Fuhrlander,2002.0,2444
54,Fuhrlander,2005.0,2445
55,Fuhrlander,2008.0,2457
56,Fuhrlander,2009.0,2462
57,GE Wind,2001.0,2723
58,GE Wind,2002.0,2765
59,GE Wind,2003.0,3373
60,GE Wind,2004.0,3489
61,GE Wind,2005.0,4447
62,GE Wind,2006.0,5215
63,GE Wind,2007.0,6773
64,GE Wind,2008.0,9165
65,GE Wind,2009.0,11828
66,GE Wind,2010.0,13510
67,GE Wind,2011.0,14759
68,GE Wind,2012.0,17756
69,GE Wind,2013.0,18289
70,GE Wind,2014.0,19951
71,GE Wind,2015.0,21878
72,GE Wind,2016.0,23562
73,GE Wind,2017.0,24449
74,GE Wind,2018.0,25649
75,GE Wind,2019.0,27320
76,GE Wind,2020.0,28320
77,Gamesa,2001.0,28682
78,Gamesa,2003.0,28684
79,Gamesa,2005.0,28709
80,Gamesa,2006.0,28734
81,Gamesa,2007.0,28983
82,Gamesa,2008.0,29288
83,Gamesa,2009.0,29586
84,Gamesa,2010.0,29868
85,Gamesa,2011.0,29945
86,Gamesa,2012.0,30618
87,Gamesa,2014.0,30629
88,Gamesa,2015.0,30825
89,Gamesa,2016.0,30977
90,Gamesa,2017.0,31396
91,Goldwind,2009.0,31399
92,Goldwind,2011.0,31402
93,Goldwind,2012.0,31503
94,Goldwind,2015.0,31508
95,Goldwind,2016.0,31509
96,Goldwind,2017.0,31513
97,Goldwind,2018.0,31583
98,Goldwind,2019.0,31591
99,Guodian,2012.0,31597
100,HZ Windpower,2012.0,31599
101,HZ Windpower,2017.0,31613
102,Hyundai,2011.0,31615
103,Hyundai,2012.0,31617
104,Kenersys,2011.0,31618
105,Kenersys,2012.0,31619
106,Leitner Ag,2010.0,31620
