,Year,Source,Twh
0,1980-01-01,Hydro,282.002
1,1980-01-01,Nuclear,264.332
2,1980-01-01,Renewables,26.656
3,1980-01-01,Solar,0.0
4,1980-01-01,Wind,0.0
5,1981-01-01,Hydro,266.51
6,1981-01-01,Nuclear,287.025
7,1981-01-01,Renewables,27.378
8,1981-01-01,Solar,0.0
9,1981-01-01,Wind,0.0
10,1982-01-01,Hydro,315.529
11,1982-01-01,Nuclear,297.656
12,1982-01-01,Renewables,26.405
13,1982-01-01,Solar,0.0
14,1982-01-01,Wind,0.0
15,1983-01-01,Hydro,338.67800000000005
16,1983-01-01,Nuclear,309.134
17,1983-01-01,Renewables,29.805
18,1983-01-01,Solar,0.003
19,1983-01-01,Wind,0.003
20,1984-01-01,Hydro,327.587
21,1984-01-01,Nuclear,344.87699999999995
22,1984-01-01,Renewables,35.595
23,1984-01-01,Solar,0.005
24,1984-01-01,Wind,0.006999999999999999
25,1985-01-01,Coal,1507.665
26,1985-01-01,Gas,313.92
27,1985-01-01,Hydro,287.182
28,1985-01-01,Nuclear,403.885
29,1985-01-01,Oil,107.744
30,1985-01-01,Renewables,36.393
31,1985-01-01,Solar,0.011000000000000001
32,1985-01-01,Wind,0.006
33,1986-01-01,Coal,1490.141
34,1986-01-01,Gas,267.21299999999997
35,1986-01-01,Hydro,296.975
36,1986-01-01,Nuclear,435.83
37,1986-01-01,Oil,146.865
38,1986-01-01,Renewables,38.702
39,1986-01-01,Solar,0.013999999999999999
40,1986-01-01,Wind,0.004
41,1987-01-01,Coal,1573.9579999999999
42,1987-01-01,Gas,293.14099999999996
43,1987-01-01,Hydro,255.41
44,1987-01-01,Nuclear,479.23199999999997
45,1987-01-01,Oil,127.411
46,1987-01-01,Renewables,42.665
47,1987-01-01,Solar,0.011000000000000001
48,1987-01-01,Wind,0.004
49,1988-01-01,Coal,1656.616
50,1988-01-01,Gas,271.829
51,1988-01-01,Hydro,228.385
52,1988-01-01,Nuclear,554.7080000000001
53,1988-01-01,Oil,160.107
54,1988-01-01,Renewables,42.394
55,1988-01-01,Solar,0.009000000000000001
56,1988-01-01,Wind,0.001
57,1989-01-01,Coal,1711.443
58,1989-01-01,Gas,379.171
59,1989-01-01,Hydro,274.724
60,1989-01-01,Nuclear,557.215
61,1989-01-01,Oil,176.73
62,1989-01-01,Renewables,48.854
63,1989-01-01,Solar,0.253
64,1989-01-01,Wind,2.133
65,1990-01-01,Coal,1725.155
66,1990-01-01,Gas,400.82300000000004
67,1990-01-01,Hydro,292.281
68,1990-01-01,Nuclear,607.2230000000001
69,1990-01-01,Oil,135.97899999999998
70,1990-01-01,Renewables,57.458999999999996
71,1990-01-01,Solar,0.371
72,1990-01-01,Wind,2.8169999999999997
73,1991-01-01,Coal,1722.536
74,1991-01-01,Gas,410.272
75,1991-01-01,Hydro,287.32599999999996
76,1991-01-01,Nuclear,644.805
77,1991-01-01,Oil,128.765
78,1991-01-01,Renewables,60.552
79,1991-01-01,Solar,0.478
80,1991-01-01,Wind,2.9810000000000003
81,1992-01-01,Coal,1757.501
82,1992-01-01,Gas,434.48900000000003
83,1992-01-01,Hydro,251.426
84,1992-01-01,Nuclear,651.3430000000001
85,1992-01-01,Oil,107.693
86,1992-01-01,Renewables,64.815
87,1992-01-01,Solar,0.409
88,1992-01-01,Wind,2.917
89,1993-01-01,Coal,1831.211
90,1993-01-01,Gas,446.158
91,1993-01-01,Hydro,279.251
92,1993-01-01,Nuclear,642.4119999999999
93,1993-01-01,Oil,121.27799999999999
94,1993-01-01,Renewables,66.925
95,1993-01-01,Solar,0.475
96,1993-01-01,Wind,3.036
97,1994-01-01,Coal,1832.2720000000002
98,1994-01-01,Gas,494.85900000000004
99,1994-01-01,Hydro,259.341
100,1994-01-01,Nuclear,674.1469999999999
101,1994-01-01,Oil,113.87200000000001
102,1994-01-01,Renewables,66.355
103,1994-01-01,Solar,0.502
104,1994-01-01,Wind,3.4819999999999998
105,1995-01-01,Coal,1853.007
106,1995-01-01,Gas,533.396
107,1995-01-01,Hydro,311.22
108,1995-01-01,Nuclear,708.8439999999999
109,1995-01-01,Oil,80.166
110,1995-01-01,Renewables,63.265
111,1995-01-01,Solar,0.514
112,1995-01-01,Wind,3.196
113,1996-01-01,Coal,1945.754
114,1996-01-01,Gas,489.30699999999996
115,1996-01-01,Hydro,347.54900000000004
116,1996-01-01,Nuclear,710.2410000000001
117,1996-01-01,Oil,87.539
118,1996-01-01,Renewables,64.82600000000001
119,1996-01-01,Solar,0.541
120,1996-01-01,Wind,3.267
121,1997-01-01,Coal,1998.243
122,1997-01-01,Gas,515.482
123,1997-01-01,Hydro,355.973
124,1997-01-01,Nuclear,661.7310000000001
125,1997-01-01,Oil,99.521
126,1997-01-01,Renewables,65.82
127,1997-01-01,Solar,0.5329999999999999
128,1997-01-01,Wind,3.321
129,1998-01-01,Coal,2029.0410000000002
130,1998-01-01,Gas,571.244
131,1998-01-01,Hydro,322.089
132,1998-01-01,Nuclear,709.16
133,1998-01-01,Oil,138.495
134,1998-01-01,Renewables,65.617
135,1998-01-01,Solar,0.525
136,1998-01-01,Wind,3.056
137,1999-01-01,Coal,2037.8629999999998
138,1999-01-01,Gas,598.275
139,1999-01-01,Hydro,316.605
140,1999-01-01,Nuclear,766.5830000000001
141,1999-01-01,Oil,126.947
142,1999-01-01,Renewables,66.47800000000001
143,1999-01-01,Solar,0.518
144,1999-01-01,Wind,4.533
145,2000-01-01,Coal,2129.268
146,2000-01-01,Gas,646.278
147,2000-01-01,Hydro,272.76099999999997
148,2000-01-01,Nuclear,793.572
149,2000-01-01,Oil,119.59200000000001
150,2000-01-01,Renewables,66.583
151,2000-01-01,Solar,0.519
152,2000-01-01,Wind,5.65
153,2001-01-01,Coal,2056.984
154,2001-01-01,Gas,687.2360000000001
155,2001-01-01,Hydro,210.24
156,2001-01-01,Nuclear,809.291
157,2001-01-01,Oil,134.28
158,2001-01-01,Renewables,66.83
159,2001-01-01,Solar,0.574
160,2001-01-01,Wind,6.805
161,2002-01-01,Coal,2090.96
162,2002-01-01,Gas,743.0169999999999
163,2002-01-01,Hydro,258.168
164,2002-01-01,Nuclear,821.12
165,2002-01-01,Oil,101.685
166,2002-01-01,Renewables,71.789
167,2002-01-01,Solar,0.602
168,2002-01-01,Wind,10.459000000000001
169,2003-01-01,Coal,2139.072
170,2003-01-01,Gas,698.825
