,p_year,manu,total_turbines
0,1982,AAER,0
1,1982,AOC,0
2,1982,AWE,0
3,1982,Acciona,0
4,1982,Aeronautica,0
5,1982,Alstom,0
6,1982,Bergey Energy,0
7,1982,Bonus,0
8,1982,Bora,0
9,1982,Changzhou Railcar Propulsion Engineering Research and Development Center,0
10,1982,China Creative Wind Energy,0
11,1982,Clipper,0
12,1982,DWT,0
13,1982,Danwin,0
14,1982,DeWind,0
15,1982,EWT,0
16,1982,Elecon,0
17,1982,Endurance,0
18,1982,Enron,0
19,1982,Entegrity,0
20,1982,Fuhrlander,0
21,1982,GE Wind,0
22,1982,Gamesa,0
23,1982,Goldwind,0
24,1982,Guodian,0
25,1982,HZ Windpower,0
26,1982,Hyundai,0
27,1982,Kenersys,0
28,1982,Leitner Ag,0
29,1982,Leitner Poma,0
30,1982,Lolland,2
31,1982,Micon,1
32,1982,Mitsubishi,0
33,1982,NEG Micon,0
34,1982,NedWind,0
35,1982,Nordex,0
36,1982,Nordic,0
37,1982,Nordtank,0
38,1982,Northern Power Systems,0
39,1982,Norwin,0
40,1982,PowerWind,0
41,1982,REpower,0
42,1982,RRB,0
43,1982,Renewtech LLC,0
44,1982,SIVA Windturbine India Pvt Ltd,0
45,1982,Samsung,0
46,1982,Sany,0
47,1982,Seaforth,0
48,1982,Siemens,0
49,1982,Siemens Gamesa Renewable Energy,0
50,1982,Silver Eagle,0
51,1982,Sinovel,0
52,1982,Siva,0
53,1982,Skystream,0
54,1982,Suzlon,0
55,1982,Turbowinds,0
56,1982,Unison,0
57,1982,Vanguard,0
58,1982,Vensys,0
59,1982,Vergnet,0
60,1982,Vestas,1
61,1982,Wincon,0
62,1982,Wind Energy Solutions,0
63,1982,Wind World,0
64,1982,Windmatic,0
65,1982,Zond,0
66,1983,AAER,0
67,1983,AOC,0
68,1983,AWE,0
69,1983,Acciona,0
70,1983,Aeronautica,0
71,1983,Alstom,0
72,1983,Bergey Energy,0
73,1983,Bonus,0
74,1983,Bora,0
75,1983,Changzhou Railcar Propulsion Engineering Research and Development Center,0
76,1983,China Creative Wind Energy,0
77,1983,Clipper,0
78,1983,DWT,0
79,1983,Danwin,0
80,1983,DeWind,0
81,1983,EWT,0
82,1983,Elecon,0
83,1983,Endurance,0
84,1983,Enron,0
85,1983,Entegrity,0
86,1983,Fuhrlander,0
87,1983,GE Wind,0
88,1983,Gamesa,0
89,1983,Goldwind,0
90,1983,Guodian,0
91,1983,HZ Windpower,0
92,1983,Hyundai,0
93,1983,Kenersys,0
94,1983,Leitner Ag,0
95,1983,Leitner Poma,0
96,1983,Lolland,2
97,1983,Micon,1
98,1983,Mitsubishi,0
99,1983,NEG Micon,0
100,1983,NedWind,0
101,1983,Nordex,0
102,1983,Nordic,0
103,1983,Nordtank,0
