,State,Year,Installed_Cap
0,Alabama,1999,0
1,Alabama,2000,0
2,Alabama,2001,0
3,Alabama,2002,0
4,Alabama,2003,0
5,Alabama,2004,0
6,Alabama,2005,0
7,Alabama,2006,0
8,Alabama,2007,0
9,Alabama,2008,0
10,Alabama,2009,0
11,Alabama,2010,0
12,Alabama,2011,0
13,Alabama,2012,0
14,Alabama,2013,0
15,Alabama,2014,0
16,Alabama,2015,0
17,Alabama,2016,0
18,Alabama,2017,0
19,Alabama,2018,0
20,Alabama,2019,0
21,Alabama,2020,0
22,Alaska,1999,0.725
23,Alaska,2000,0.825
24,Alaska,2001,0.825
25,Alaska,2002,0.925
26,Alaska,2003,0.925
27,Alaska,2004,1.189
28,Alaska,2005,1.489
29,Alaska,2006,1.705
30,Alaska,2007,1.705
31,Alaska,2008,3.718
32,Alaska,2009,8.518
33,Alaska,2010,8.716
34,Alaska,2011,11
35,Alaska,2012,59
36,Alaska,2013,62
37,Alaska,2014,62
38,Alaska,2015,62
39,Alaska,2016,62
40,Alaska,2017,62
41,Alaska,2018,63
42,Alaska,2019,64
43,Alaska,2020,64
44,Arizona,1999,0
45,Arizona,2000,0
46,Arizona,2001,0
47,Arizona,2002,0
48,Arizona,2003,0
49,Arizona,2004,0
50,Arizona,2005,0
51,Arizona,2006,0
52,Arizona,2007,0
53,Arizona,2008,0
54,Arizona,2009,63
55,Arizona,2010,128.1
56,Arizona,2011,139
57,Arizona,2012,238
58,Arizona,2013,238
59,Arizona,2014,238
60,Arizona,2015,268
61,Arizona,2016,268
62,Arizona,2017,268
63,Arizona,2018,268
64,Arizona,2019,268
65,Arizona,2020,268
66,Arkansas,1999,0
67,Arkansas,2000,0
68,Arkansas,2001,0
69,Arkansas,2002,0
70,Arkansas,2003,0.1
71,Arkansas,2004,0.1
72,Arkansas,2005,0.1
73,Arkansas,2006,0.1
74,Arkansas,2007,0.1
75,Arkansas,2008,0.1
76,Arkansas,2009,0.1
77,Arkansas,2010,0.1
78,Arkansas,2011,0.1
79,Arkansas,2012,0
80,Arkansas,2013,0
81,Arkansas,2014,0
82,Arkansas,2015,0
83,Arkansas,2016,0
84,Arkansas,2017,0
85,Arkansas,2018,0
86,Arkansas,2019,0
87,Arkansas,2020,0
88,California,1999,1615.993
89,California,2000,1615.993
90,California,2001,1683.093
91,California,2002,1823.067
92,California,2003,2024.907
93,California,2004,2094.977
94,California,2005,2149.457
95,California,2006,2376.107
96,California,2007,2439.107
97,California,2008,2536.707
98,California,2009,2797.953
99,California,2010,3252.607
100,California,2011,3917
101,California,2012,5542
102,California,2013,5830
103,California,2014,5917
