State,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Q3 2020
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Alaska,0.725,0.825,0.825,0.9249999999999999,0.9249999999999999,1.189,1.489,1.705,1.705,3.7179999999999995,8.518,8.716,11.0,59,62,62,62,62,62,63,64,64
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,128.1,139.0,238,238,238,268,268,268,268,268,268
Arkansas,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
California,1615.993,1615.993,1683.093,1823.0669999999996,2024.9069999999997,2094.9769999999994,2149.4569999999994,2376.1069999999995,2439.1069999999995,2536.7069999999994,2797.953,3252.607,3917.0,5542,5830,5917,6108,5662,5609,5885,5973,5871
Colorado,21.6,21.6,61.2,61.199999999999996,223.2,230.7,230.75,290.75,1066.75,1067.65,1244.25,1298.55,1805.0,2301,2332,2593,2992,3026,3104,3706,3762,4558
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,5,5,5,5,5
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2,2,2,2,2,2,2,2,2
District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Hawaii,1.555,1.555,1.555,8.555,8.555,8.555,8.555,42.115,63.115,63.115,63.115,63.115,92.0,206,206,206,203,203,206,206,206,233
Idaho,0.0,0.0,0.0,0.0,0.216,0.216,75.216,75.31599999999999,75.31599999999999,75.63999999999999,146.824,352.516,618.0,973,973,973,973,973,973,973,973,973
Illinois,0.0,0.0,0.0,0.0,50.4,51.059999999999995,107.16,107.16,699.37,915.0699999999999,1547.47,2044.56,2742.0,3568,3568,3568,3842,4026,4332,4861,5350,5858
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.5,1035.95,1339.15,1340.0,1543,1544,1745,1895,1895,2117,2317,2317,2464
Iowa,242.42,242.42,324.17,422.65,471.82000000000005,633.993,836.303,932.2280000000002,1272.928,2791.1780000000003,3603.928,3674.928,4322.0,5133,5178,5688,6212,6917,7308,8422,10190,10799
Kansas,1.5,1.5,113.7,113.7,113.7,113.7,263.7,364.2,364.2,921.0,1021.0,1074.0,1274.0,2713,2967,2967,3766,4451,5110,5653,6128,6512
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Maine,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.1,42.11,46.61,174.71,266.2,397.0,431,431,440,613,901,923,923,923,923
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,120.0,120,120,160,190,190,191,191,191,191
Massachusetts,0.3,0.3,0.98,0.98,0.98,0.98,1.08,3.5400000000000005,5.040000000000001,5.74,14.97,17.69,47.0,103,106,107,107,115,115,113,120,120
Michigan,0.6,0.6,2.4,2.4,2.4,2.4,2.5949999999999998,2.5949999999999998,2.5949999999999998,144.39499999999998,138.495,164.395,377.0,988,1163,1531,1531,1611,1860,1904,2190,2459
Minnesota,273.39,291.21,319.8,337.70000000000005,558.2500000000001,600.1,745.4,895.8499999999999,1299.7895000000005,1752.8450000000007,1810.045,2205.37,2718.0,2987,2987,3035,3235,3526,3699,3779,3843,4048
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.7,162.5,308.5,457.0,459.0,458,459,459,459,659,959,959,959,1201
Montana,0.1,0.1,0.1,0.36,1.145,1.145,136.86,145.86,152.895,271.495,374.995,385.53,386.0,645,645,665,665,685,695,800,800,880
Nebraska,2.82,2.82,2.82,13.98,13.98,13.98,73.38,73.38,71.88,116.88,152.88,212.88,337.0,459,534,812,890,1328,1426,1972,2142,2364
Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152,152,152,152,152,152,152,152,152
