,Entity,Code,Year,Onshore wind LCOE (2019 USD/kWh),Solar LCOE (2019 USD/kWh)
346,United States,USA,1984,0.297,
347,United States,USA,1985,0.28,
348,United States,USA,1986,0.253,
349,United States,USA,1987,0.247,
350,United States,USA,1988,0.19,
351,United States,USA,1989,0.177,
352,United States,USA,1990,0.196,
353,United States,USA,1991,0.19,
354,United States,USA,1998,0.105,
355,United States,USA,1999,0.1,
356,United States,USA,2000,0.08800000000000001,
357,United States,USA,2001,0.084,
358,United States,USA,2002,0.08,
359,United States,USA,2003,0.071,
360,United States,USA,2004,0.08,
361,United States,USA,2005,0.07,
362,United States,USA,2006,0.077,
363,United States,USA,2007,0.079,
364,United States,USA,2008,0.079,
365,United States,USA,2009,0.09,
366,United States,USA,2010,0.085,0.2015
367,United States,USA,2011,0.092,0.2417
368,United States,USA,2012,0.081,0.2123
369,United States,USA,2013,0.069,0.2161
370,United States,USA,2014,0.06,0.1514
371,United States,USA,2015,0.057999999999999996,0.1436
372,United States,USA,2016,0.055999999999999994,0.1336
373,United States,USA,2017,0.051,0.0993
374,United States,USA,2018,0.048,0.0789
375,United States,USA,2019,0.046,0.0677
