p_year,AAER,AOC,AWE,Acciona,Aeronautica,Alstom,Bergey Energy,Bonus,Bora,Changzhou Railcar Propulsion Engineering Research and Development Center,China Creative Wind Energy,Clipper,DWT,Danwin,DeWind,EWT,Elecon,Endurance,Enron,Entegrity,Fuhrlander,GE Wind,Gamesa,Goldwind,Guodian,HZ Windpower,Hyundai,Kenersys,Leitner Ag,Leitner Poma,Lolland,Micon,Mitsubishi,NEG Micon,NedWind,Nordex,Nordic,Nordtank,Northern Power Systems,Norwin,PowerWind,REpower,RRB,Renewtech LLC,SIVA Windturbine India Pvt Ltd,Samsung,Sany,Seaforth,Siemens,Siemens Gamesa Renewable Energy,Silver Eagle,Sinovel,Siva,Skystream,Suzlon,Turbowinds,Unison,Vanguard,Vensys,Vergnet,Vestas,Wincon,Wind Energy Solutions,Wind World,Windmatic,Zond
1982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.0,,,,,
1984.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,152.0,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,207.0,,,,,,,,,,,,,,,,,,,,3.0,,,516.0,,,,49.0,
1986.0,,,,,,,,207.0,,,,,,,,,,,,,,,,,,,,,,,,204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.0,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0,,,,,
1988.0,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1990.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.0,,,,,
1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.0,,,,,
1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.0,,,1.0,,
