p_year,AAER,AOC,AWE,Acciona,Aeronautica,Alstom,Bergey Energy,Bonus,Bora,Changzhou Railcar Propulsion Engineering Research and Development Center,China Creative Wind Energy,Clipper,DWT,Danwin,DeWind,EWT,Elecon,Endurance,Enron,Entegrity,Fuhrlander,GE Wind,Gamesa,Goldwind,Guodian,HZ Windpower,Hyundai,Kenersys,Leitner Ag,Leitner Poma,Lolland,Micon,Mitsubishi,NEG Micon,NedWind,Nordex,Nordic,Nordtank,Northern Power Systems,Norwin,PowerWind,REpower,RRB,Renewtech LLC,SIVA Windturbine India Pvt Ltd,Samsung,Sany,Seaforth,Siemens,Siemens Gamesa Renewable Energy,Silver Eagle,Sinovel,Siva,Skystream,Suzlon,Turbowinds,Unison,Vanguard,Vensys,Vergnet,Vestas,Wincon,Wind Energy Solutions,Wind World,Windmatic,Zond
1982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.0,,,,,
1984.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,132.0,,,,,,,,,,,,,,,,,,,,,,,,108.0,,,,,,73.0,,,,,,,,,,,,,,,,,,,,3.0,,,83.0,,,,49.0,
1986.0,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,
1988.0,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1990.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.0,,,,,
1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,
1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,
1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,1.0,
1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
1997.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,6.0,,,2.0,,,,,,,,,,12.0,,,,,12.0
1998.0,,,,,,,,,,,,,,,,,,,139.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,3.0
1999.0,,5.0,,,,,,,,,,,,,,,,,256.0,,,,,,,,,,,,,,23.0,320.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,209.0
2000.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,
2001.0,,,,,,,,48.0,,,,,,,,,,,1.0,,,261.0,362.0,,,,,,,,,2.0,278.0,134.0,,2.0,,,1.0,,,,,,,,,,,166.0,,,,,,,,,,,620.0,,,,,
2002.0,,,,,,,,37.0,,,,,,,,,,,,,1.0,42.0,,,,,,,,,,1.0,42.0,64.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,270.0,,,,,
2003.0,,,,,,,,12.0,,,,,,,,,,,,,,608.0,2.0,,,,,,,,,,201.0,84.0,,,,,,,,,,,,,,2.0,,,,,,,18.0,,,,,,224.0,,,,,
2004.0,,4.0,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,120.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,
2005.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,958.0,25.0,,,,,,,,,,190.0,38.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,367.0,,,,,
2006.0,,,,,,,,1.0,,,,,,,,,,,,,,768.0,25.0,,,,,,,,,,127.0,,,,,,3.0,,,,,,,,,3.0,119.0,130.0,,,,,45.0,,,,,,285.0,,,,,
2007.0,,,,,,,,,,,,19.0,,,,,,,,,,1558.0,249.0,,,,,,,,,,364.0,,,1.0,,,,,,,,,,,,,308.0,67.0,,,,,98.0,,,,,,536.0,,,,,
2008.0,,,2.0,273.0,,,,,,,,189.0,,,1.0,,,,,16.0,12.0,2392.0,305.0,,,,,,,,,,514.0,1.0,,,,,6.0,,,47.0,1.0,,,,,,344.0,,,,,,361.0,,,,1.0,,582.0,,,,,
