,State,Year,Installed_Cap
0,Alabama,1999,0.0
1,Alabama,2000,0.0
2,Alabama,2001,0.0
3,Alabama,2002,0.0
4,Alabama,2003,0.0
5,Alabama,2004,0.0
6,Alabama,2005,0.0
7,Alabama,2006,0.0
8,Alabama,2007,0.0
9,Alabama,2008,0.0
10,Alabama,2009,0.0
11,Alabama,2010,0.0
12,Alabama,2011,0.0
13,Alabama,2012,0.0
14,Alabama,2013,0.0
15,Alabama,2014,0.0
16,Alabama,2015,0.0
17,Alabama,2016,0.0
18,Alabama,2017,0.0
19,Alabama,2018,0.0
20,Alabama,2019,0.0
21,Alabama,Q3 2020,0.0
22,Alaska,1999,0.725
23,Alaska,2000,0.825
24,Alaska,2001,0.825
25,Alaska,2002,0.9249999999999999
26,Alaska,2003,0.9249999999999999
27,Alaska,2004,1.189
28,Alaska,2005,1.489
29,Alaska,2006,1.705
30,Alaska,2007,1.705
31,Alaska,2008,3.7179999999999995
32,Alaska,2009,8.518
33,Alaska,2010,8.716
34,Alaska,2011,11.0
35,Alaska,2012,59.0
36,Alaska,2013,62.0
37,Alaska,2014,62.0
38,Alaska,2015,62.0
39,Alaska,2016,62.0
40,Alaska,2017,62.0
41,Alaska,2018,63.0
42,Alaska,2019,64.0
43,Alaska,Q3 2020,64.0
44,Arizona,1999,0.0
45,Arizona,2000,0.0
46,Arizona,2001,0.0
47,Arizona,2002,0.0
48,Arizona,2003,0.0
49,Arizona,2004,0.0
50,Arizona,2005,0.0
51,Arizona,2006,0.0
52,Arizona,2007,0.0
53,Arizona,2008,0.0
54,Arizona,2009,63.0
55,Arizona,2010,128.1
56,Arizona,2011,139.0
57,Arizona,2012,238.0
58,Arizona,2013,238.0
59,Arizona,2014,238.0
60,Arizona,2015,268.0
61,Arizona,2016,268.0
62,Arizona,2017,268.0
63,Arizona,2018,268.0
64,Arizona,2019,268.0
65,Arizona,Q3 2020,268.0
66,Arkansas,1999,0.0
67,Arkansas,2000,0.0
68,Arkansas,2001,0.0
69,Arkansas,2002,0.0
70,Arkansas,2003,0.1
71,Arkansas,2004,0.1
72,Arkansas,2005,0.1
73,Arkansas,2006,0.1
74,Arkansas,2007,0.1
75,Arkansas,2008,0.1
76,Arkansas,2009,0.1
77,Arkansas,2010,0.1
78,Arkansas,2011,0.1
79,Arkansas,2012,0.0
80,Arkansas,2013,0.0
81,Arkansas,2014,0.0
82,Arkansas,2015,0.0
83,Arkansas,2016,0.0
84,Arkansas,2017,0.0
85,Arkansas,2018,0.0
86,Arkansas,2019,0.0
87,Arkansas,Q3 2020,0.0
88,California,1999,1615.993
89,California,2000,1615.993
90,California,2001,1683.093
91,California,2002,1823.0669999999996
92,California,2003,2024.9069999999997
93,California,2004,2094.9769999999994
94,California,2005,2149.4569999999994
95,California,2006,2376.1069999999995
96,California,2007,2439.1069999999995
97,California,2008,2536.7069999999994
98,California,2009,2797.953
99,California,2010,3252.607
100,California,2011,3917.0
101,California,2012,5542.0
102,California,2013,5830.0
103,California,2014,5917.0
104,California,2015,6108.0
105,California,2016,5662.0
106,California,2017,5609.0
107,California,2018,5885.0
108,California,2019,5973.0
109,California,Q3 2020,5871.0
110,Colorado,1999,21.6
111,Colorado,2000,21.6
112,Colorado,2001,61.2
113,Colorado,2002,61.199999999999996
114,Colorado,2003,223.2
115,Colorado,2004,230.7
116,Colorado,2005,230.75
117,Colorado,2006,290.75
118,Colorado,2007,1066.75
119,Colorado,2008,1067.65
120,Colorado,2009,1244.25
121,Colorado,2010,1298.55
122,Colorado,2011,1805.0
123,Colorado,2012,2301.0
124,Colorado,2013,2332.0
125,Colorado,2014,2593.0
126,Colorado,2015,2992.0
127,Colorado,2016,3026.0
128,Colorado,2017,3104.0
129,Colorado,2018,3706.0
130,Colorado,2019,3762.0
131,Colorado,Q3 2020,4558.0
132,Connecticut,1999,0.0
133,Connecticut,2000,0.0
134,Connecticut,2001,0.0
135,Connecticut,2002,0.0
136,Connecticut,2003,0.0
137,Connecticut,2004,0.0
138,Connecticut,2005,0.0
139,Connecticut,2006,0.0
140,Connecticut,2007,0.0
141,Connecticut,2008,0.0
142,Connecticut,2009,0.0
143,Connecticut,2010,0.0
144,Connecticut,2011,0.0
145,Connecticut,2012,0.0
146,Connecticut,2013,0.0
147,Connecticut,2014,0.0
148,Connecticut,2015,5.0
149,Connecticut,2016,5.0
150,Connecticut,2017,5.0
151,Connecticut,2018,5.0
152,Connecticut,2019,5.0
153,Connecticut,Q3 2020,5.0
154,Delaware,1999,0.0
155,Delaware,2000,0.0
156,Delaware,2001,0.0
157,Delaware,2002,0.0
158,Delaware,2003,0.0
159,Delaware,2004,0.0
160,Delaware,2005,0.0
161,Delaware,2006,0.0
162,Delaware,2007,0.0
163,Delaware,2008,0.0
164,Delaware,2009,0.0
165,Delaware,2010,2.0
166,Delaware,2011,2.0
167,Delaware,2012,2.0
168,Delaware,2013,2.0
169,Delaware,2014,2.0
170,Delaware,2015,2.0
171,Delaware,2016,2.0
172,Delaware,2017,2.0
173,Delaware,2018,2.0
174,Delaware,2019,2.0
175,Delaware,Q3 2020,2.0
176,District of Columbia,1999,0.0
177,District of Columbia,2000,0.0
178,District of Columbia,2001,0.0
179,District of Columbia,2002,0.0
180,District of Columbia,2003,0.0
181,District of Columbia,2004,0.0
182,District of Columbia,2005,0.0
183,District of Columbia,2006,0.0
184,District of Columbia,2007,0.0
185,District of Columbia,2008,0.0
186,District of Columbia,2009,0.0
187,District of Columbia,2010,0.0
188,District of Columbia,2011,0.0
189,District of Columbia,2012,0.0
190,District of Columbia,2013,0.0
191,District of Columbia,2014,0.0
192,District of Columbia,2015,0.0
193,District of Columbia,2016,0.0
194,District of Columbia,2017,0.0
195,District of Columbia,2018,0.0
196,District of Columbia,2019,0.0
197,District of Columbia,Q3 2020,0.0
198,Florida,1999,0.0
199,Florida,2000,0.0
200,Florida,2001,0.0
201,Florida,2002,0.0
202,Florida,2003,0.0
203,Florida,2004,0.0
204,Florida,2005,0.0
205,Florida,2006,0.0
206,Florida,2007,0.0
207,Florida,2008,0.0
208,Florida,2009,0.0
209,Florida,2010,0.0
210,Florida,2011,0.0
211,Florida,2012,0.0
212,Florida,2013,0.0
213,Florida,2014,0.0
214,Florida,2015,0.0
215,Florida,2016,0.0
216,Florida,2017,0.0
217,Florida,2018,0.0
218,Florida,2019,0.0
219,Florida,Q3 2020,0.0
220,Georgia,1999,0.0
221,Georgia,2000,0.0
222,Georgia,2001,0.0
223,Georgia,2002,0.0
224,Georgia,2003,0.0
225,Georgia,2004,0.0
226,Georgia,2005,0.0
227,Georgia,2006,0.0
228,Georgia,2007,0.0
229,Georgia,2008,0.0
230,Georgia,2009,0.0
231,Georgia,2010,0.0
232,Georgia,2011,0.0
233,Georgia,2012,0.0
234,Georgia,2013,0.0
235,Georgia,2014,0.0
236,Georgia,2015,0.0
237,Georgia,2016,0.0
238,Georgia,2017,0.0
239,Georgia,2018,0.0
240,Georgia,2019,0.0
241,Georgia,Q3 2020,0.0
242,Hawaii,1999,1.555
243,Hawaii,2000,1.555
244,Hawaii,2001,1.555
245,Hawaii,2002,8.555
246,Hawaii,2003,8.555
247,Hawaii,2004,8.555
248,Hawaii,2005,8.555
249,Hawaii,2006,42.115
250,Hawaii,2007,63.115
251,Hawaii,2008,63.115
252,Hawaii,2009,63.115
253,Hawaii,2010,63.115
254,Hawaii,2011,92.0
255,Hawaii,2012,206.0
256,Hawaii,2013,206.0
257,Hawaii,2014,206.0
258,Hawaii,2015,203.0
259,Hawaii,2016,203.0
260,Hawaii,2017,206.0
261,Hawaii,2018,206.0
262,Hawaii,2019,206.0
263,Hawaii,Q3 2020,233.0
264,Idaho,1999,0.0
265,Idaho,2000,0.0
266,Idaho,2001,0.0
267,Idaho,2002,0.0
268,Idaho,2003,0.216
269,Idaho,2004,0.216
270,Idaho,2005,75.216
271,Idaho,2006,75.31599999999999
272,Idaho,2007,75.31599999999999
273,Idaho,2008,75.63999999999999
274,Idaho,2009,146.824
275,Idaho,2010,352.516
276,Idaho,2011,618.0
277,Idaho,2012,973.0
278,Idaho,2013,973.0
279,Idaho,2014,973.0
280,Idaho,2015,973.0
281,Idaho,2016,973.0
282,Idaho,2017,973.0
283,Idaho,2018,973.0
284,Idaho,2019,973.0
285,Idaho,Q3 2020,973.0
286,Illinois,1999,0.0
287,Illinois,2000,0.0
288,Illinois,2001,0.0
289,Illinois,2002,0.0
290,Illinois,2003,50.4
291,Illinois,2004,51.059999999999995
292,Illinois,2005,107.16
293,Illinois,2006,107.16
294,Illinois,2007,699.37
295,Illinois,2008,915.0699999999999
296,Illinois,2009,1547.47
297,Illinois,2010,2044.56
298,Illinois,2011,2742.0
299,Illinois,2012,3568.0
300,Illinois,2013,3568.0
301,Illinois,2014,3568.0
302,Illinois,2015,3842.0
303,Illinois,2016,4026.0
304,Illinois,2017,4332.0
305,Illinois,2018,4861.0
306,Illinois,2019,5350.0
307,Illinois,Q3 2020,5858.0
308,Indiana,1999,0.0
309,Indiana,2000,0.0
310,Indiana,2001,0.0
311,Indiana,2002,0.0
312,Indiana,2003,0.0
313,Indiana,2004,0.0
314,Indiana,2005,0.0
315,Indiana,2006,0.0
316,Indiana,2007,0.0
317,Indiana,2008,130.5
318,Indiana,2009,1035.95
319,Indiana,2010,1339.15
320,Indiana,2011,1340.0
321,Indiana,2012,1543.0
322,Indiana,2013,1544.0
323,Indiana,2014,1745.0
324,Indiana,2015,1895.0
325,Indiana,2016,1895.0
326,Indiana,2017,2117.0
327,Indiana,2018,2317.0
328,Indiana,2019,2317.0
329,Indiana,Q3 2020,2464.0
330,Iowa,1999,242.42
331,Iowa,2000,242.42
332,Iowa,2001,324.17
333,Iowa,2002,422.65
334,Iowa,2003,471.82000000000005
335,Iowa,2004,633.993
336,Iowa,2005,836.303
337,Iowa,2006,932.2280000000002
338,Iowa,2007,1272.928
339,Iowa,2008,2791.1780000000003
340,Iowa,2009,3603.928
341,Iowa,2010,3674.928
342,Iowa,2011,4322.0
343,Iowa,2012,5133.0
344,Iowa,2013,5178.0
345,Iowa,2014,5688.0
346,Iowa,2015,6212.0
347,Iowa,2016,6917.0
348,Iowa,2017,7308.0
349,Iowa,2018,8422.0
350,Iowa,2019,10190.0
351,Iowa,Q3 2020,10799.0
352,Kansas,1999,1.5
353,Kansas,2000,1.5
354,Kansas,2001,113.7
355,Kansas,2002,113.7
356,Kansas,2003,113.7
357,Kansas,2004,113.7
358,Kansas,2005,263.7
359,Kansas,2006,364.2
360,Kansas,2007,364.2
361,Kansas,2008,921.0
362,Kansas,2009,1021.0
363,Kansas,2010,1074.0
364,Kansas,2011,1274.0
365,Kansas,2012,2713.0
366,Kansas,2013,2967.0
367,Kansas,2014,2967.0
368,Kansas,2015,3766.0
369,Kansas,2016,4451.0
370,Kansas,2017,5110.0
371,Kansas,2018,5653.0
372,Kansas,2019,6128.0
373,Kansas,Q3 2020,6512.0
374,Kentucky,1999,0.0
375,Kentucky,2000,0.0
376,Kentucky,2001,0.0
377,Kentucky,2002,0.0
378,Kentucky,2003,0.0
379,Kentucky,2004,0.0
380,Kentucky,2005,0.0
381,Kentucky,2006,0.0
382,Kentucky,2007,0.0
383,Kentucky,2008,0.0
384,Kentucky,2009,0.0
385,Kentucky,2010,0.0
386,Kentucky,2011,0.0
387,Kentucky,2012,0.0
388,Kentucky,2013,0.0
389,Kentucky,2014,0.0
390,Kentucky,2015,0.0
391,Kentucky,2016,0.0
392,Kentucky,2017,0.0
393,Kentucky,2018,0.0
394,Kentucky,2019,0.0
395,Kentucky,Q3 2020,0.0
396,Louisiana,1999,0.0
397,Louisiana,2000,0.0
398,Louisiana,2001,0.0
399,Louisiana,2002,0.0
400,Louisiana,2003,0.0
401,Louisiana,2004,0.0
402,Louisiana,2005,0.0
403,Louisiana,2006,0.0
404,Louisiana,2007,0.0
405,Louisiana,2008,0.0
406,Louisiana,2009,0.0
407,Louisiana,2010,0.0
408,Louisiana,2011,0.0
409,Louisiana,2012,0.0
410,Louisiana,2013,0.0
411,Louisiana,2014,0.0
412,Louisiana,2015,0.0
413,Louisiana,2016,0.0
414,Louisiana,2017,0.0
415,Louisiana,2018,0.0
416,Louisiana,2019,0.0
417,Louisiana,Q3 2020,0.0
418,Maine,1999,0.1
419,Maine,2000,0.1
420,Maine,2001,0.1
421,Maine,2002,0.1
422,Maine,2003,0.1
423,Maine,2004,0.1
424,Maine,2005,0.1
425,Maine,2006,9.1
426,Maine,2007,42.11
427,Maine,2008,46.61
428,Maine,2009,174.71
429,Maine,2010,266.2
430,Maine,2011,397.0
431,Maine,2012,431.0
432,Maine,2013,431.0
433,Maine,2014,440.0
434,Maine,2015,613.0
435,Maine,2016,901.0
436,Maine,2017,923.0
437,Maine,2018,923.0
438,Maine,2019,923.0
439,Maine,Q3 2020,923.0
440,Maryland,1999,0.0
441,Maryland,2000,0.0
