,p_year,t_manu,case_id
0,1982.0,Lolland,2
1,1982.0,Micon,1
2,1982.0,Vestas,1
3,1983.0,Vestas,432
4,1984.0,Bonus,20
5,1984.0,Micon,1
6,1984.0,Nordtank,134
7,1985.0,Bonus,132
8,1985.0,Micon,108
9,1985.0,Nordtank,73
10,1985.0,Vanguard,3
11,1985.0,Vestas,83
12,1985.0,Windmatic,49
13,1986.0,Bonus,55
14,1986.0,Micon,94
15,1986.0,Vestas,2
16,1987.0,Micon,185
17,1987.0,Vestas,14
18,1988.0,Danwin,115
19,1988.0,Wincon,1
20,1990.0,DWT,1
21,1990.0,Vestas,326
22,1991.0,Vestas,1
23,1992.0,Vestas,1
24,1992.0,Wind World,1
25,1994.0,Vestas,30
26,1995.0,Vestas,42
27,1995.0,Windmatic,1
28,1996.0,Vestas,1
29,1997.0,AOC,1
30,1997.0,NEG Micon,8
31,1997.0,Seaforth,6
32,1997.0,Silver Eagle,2
33,1997.0,Vestas,12
34,1997.0,Zond,12
35,1998.0,Enron,139
36,1998.0,NEG Micon,2
37,1998.0,Vestas,42
38,1998.0,Zond,3
39,1999.0,AOC,5
40,1999.0,Enron,256
41,1999.0,Mitsubishi,23
42,1999.0,NEG Micon,320
43,1999.0,Nordex,1
44,1999.0,Vestas,93
45,1999.0,Zond,209
46,2000.0,AOC,2
47,2000.0,Mitsubishi,29
48,2000.0,NEG Micon,1
49,2000.0,Vestas,40
50,2001.0,Bonus,48
51,2001.0,Enron,1
52,2001.0,GE Wind,261
53,2001.0,Gamesa,362
54,2001.0,Micon,2
55,2001.0,Mitsubishi,278
56,2001.0,NEG Micon,134
57,2001.0,Nordex,2
58,2001.0,Northern Power Systems,1
59,2001.0,Siemens Gamesa Renewable Energy,166
60,2001.0,Vestas,620
61,2002.0,Bonus,37
62,2002.0,Fuhrlander,1
63,2002.0,GE Wind,42
64,2002.0,Micon,1
65,2002.0,Mitsubishi,42
66,2002.0,NEG Micon,64
67,2002.0,Nordex,2
68,2002.0,Northern Power Systems,1
69,2002.0,Vestas,270
